timestamp,attack_vector,packets_sent,bytes_sent,active_connections,response_latency_ms,cid_len
2026-03-22T00:08:01.668462556+00:00,raw,668,24716,0,0.000,20
2026-03-22T00:08:02.168976840+00:00,raw,140021,5180777,0,0.000,20
2026-03-22T00:08:02.668532044+00:00,raw,279961,10358557,0,0.000,20
2026-03-22T00:08:03.169102928+00:00,raw,422458,15630946,0,0.000,20
2026-03-22T00:08:03.668730046+00:00,raw,566882,20974634,0,0.000,20
2026-03-22T00:08:04.168479039+00:00,raw,703600,26033200,0,0.000,20
2026-03-22T00:08:04.669085968+00:00,raw,841711,31143307,0,0.000,20
2026-03-22T00:08:05.168657081+00:00,raw,984580,36429460,0,0.000,20
2026-03-22T00:08:05.668208122+00:00,raw,1128119,41740403,0,0.000,20
2026-03-22T00:08:06.168783087+00:00,raw,1271253,47036361,0,0.000,20
2026-03-22T00:08:06.668397051+00:00,raw,1411893,52240041,0,0.000,20
2026-03-22T00:08:07.169013184+00:00,raw,1551530,57406610,0,0.000,20
2026-03-22T00:08:07.668546570+00:00,raw,1691996,62603852,0,0.000,20
2026-03-22T00:08:08.168221242+00:00,raw,1831480,67764760,0,0.000,20
2026-03-22T00:08:08.668820539+00:00,raw,1969145,72858365,0,0.000,20
2026-03-22T00:08:09.168429482+00:00,raw,2110643,78093791,0,0.000,20
2026-03-22T00:08:09.668106805+00:00,raw,2252457,83340909,0,0.000,20
2026-03-22T00:08:10.168717827+00:00,raw,2387371,88332727,0,0.000,20
2026-03-22T00:08:10.668293402+00:00,raw,2528527,93555499,0,0.000,20
2026-03-22T00:08:11.168877988+00:00,raw,2670426,98805762,0,0.000,20
2026-03-22T00:08:11.668483928+00:00,raw,2811956,104042372,0,0.000,20
2026-03-22T00:08:12.168103686+00:00,raw,2945375,108978875,0,0.000,20
2026-03-22T00:08:12.668658130+00:00,raw,3083401,114085837,0,0.000,20
2026-03-22T00:08:13.168236531+00:00,raw,3220675,119164975,0,0.000,20
2026-03-22T00:08:13.668842591+00:00,raw,3367173,124585401,0,0.000,20
2026-03-22T00:08:14.168461692+00:00,raw,3513797,130010489,0,0.000,20
2026-03-22T00:08:14.669046766+00:00,raw,3666677,135667049,0,0.000,20
2026-03-22T00:08:15.168681219+00:00,raw,3817335,141241395,0,0.000,20
2026-03-22T00:08:15.668267990+00:00,raw,3966916,146775892,0,0.000,20
2026-03-22T00:08:16.168828862+00:00,raw,4115556,152275572,0,0.000,20
2026-03-22T00:08:16.668407308+00:00,raw,4264597,157790089,0,0.000,20
2026-03-22T00:08:17.169084391+00:00,raw,4412520,163263240,0,0.000,20
2026-03-22T00:08:17.668775803+00:00,raw,4564992,168904704,0,0.000,20
2026-03-22T00:08:18.168538072+00:00,raw,4714828,174448636,0,0.000,20
2026-03-22T00:08:18.668195664+00:00,raw,4860712,179846344,0,0.000,20
2026-03-22T00:08:19.168900521+00:00,raw,5001587,185058719,0,0.000,20
2026-03-22T00:08:19.668587067+00:00,raw,5146484,190419908,0,0.000,20
2026-03-22T00:08:20.168278065+00:00,raw,5286426,195597762,0,0.000,20
2026-03-22T00:08:20.668861771+00:00,raw,5429561,200893757,0,0.000,20
2026-03-22T00:08:21.168463008+00:00,raw,5578968,206421816,0,0.000,20
2026-03-22T00:08:21.669068201+00:00,raw,5729289,211983693,0,0.000,20
2026-03-22T00:08:22.168681980+00:00,raw,5880731,217587047,0,0.000,20
2026-03-22T00:08:22.668279447+00:00,raw,6028637,223059569,0,0.000,20
2026-03-22T00:08:23.168925296+00:00,raw,6179906,228656522,0,0.000,20
2026-03-22T00:08:23.668517749+00:00,raw,6328782,234164934,0,0.000,20
2026-03-22T00:08:24.168117093+00:00,raw,6474772,239566564,0,0.000,20
2026-03-22T00:08:24.668748572+00:00,raw,6627639,245222643,0,0.000,20
2026-03-22T00:08:25.168402882+00:00,raw,6777254,250758398,0,0.000,20
2026-03-22T00:08:25.669052215+00:00,raw,6930166,256416142,0,0.000,20
2026-03-22T00:08:26.168670609+00:00,raw,7077337,261861469,0,0.000,20
2026-03-22T00:08:26.668345264+00:00,raw,7223904,267284448,0,0.000,20
2026-03-22T00:08:27.168984841+00:00,raw,7366993,272578741,0,0.000,20
2026-03-22T00:08:27.668621891+00:00,raw,7509305,277844285,0,0.000,20
2026-03-22T00:08:28.168277930+00:00,raw,7658859,283377783,0,0.000,20
2026-03-22T00:08:28.668900642+00:00,raw,7807477,288876649,0,0.000,20
2026-03-22T00:08:29.168518025+00:00,raw,7957284,294419508,0,0.000,20
2026-03-22T00:08:29.668141007+00:00,raw,8110598,300092126,0,0.000,20
2026-03-22T00:08:30.168782170+00:00,raw,8256094,305475478,0,0.000,20
2026-03-22T00:08:30.668478474+00:00,raw,8407958,311094446,0,0.000,20
2026-03-22T00:08:31.168114431+00:00,raw,8554302,316509174,0,0.000,20
2026-03-22T00:08:31.668703119+00:00,raw,8703561,322031757,0,0.000,20
2026-03-22T00:08:32.168297269+00:00,raw,8853480,327578760,0,0.000,20
2026-03-22T00:08:32.668990246+00:00,raw,9000739,333027343,0,0.000,20
2026-03-22T00:08:33.168651726+00:00,raw,9147801,338468637,0,0.000,20
2026-03-22T00:08:33.668338734+00:00,raw,9299044,344064628,0,0.000,20
2026-03-22T00:08:34.169191896+00:00,raw,9448246,349585102,0,0.000,20
2026-03-22T00:08:34.669178752+00:00,raw,9598725,355152825,0,0.000,20
2026-03-22T00:08:35.169220043+00:00,raw,9747227,360647399,0,0.000,20
2026-03-22T00:08:35.668187627+00:00,raw,9895618,366137866,0,0.000,20
2026-03-22T00:08:36.168200826+00:00,raw,10041222,371525214,0,0.000,20
2026-03-22T00:08:36.669173389+00:00,raw,10194210,377185770,0,0.000,20
2026-03-22T00:08:37.168993159+00:00,raw,10338935,382540595,0,0.000,20
2026-03-22T00:08:37.668584879+00:00,raw,10490104,388133848,0,0.000,20
2026-03-22T00:08:38.168196045+00:00,raw,10635881,393527597,0,0.000,20
2026-03-22T00:08:38.668899554+00:00,raw,10780917,398893929,0,0.000,20
2026-03-22T00:08:39.168535681+00:00,raw,10926371,404275727,0,0.000,20
2026-03-22T00:08:39.668147225+00:00,raw,11071736,409654232,0,0.000,20
2026-03-22T00:08:40.168763687+00:00,raw,11217765,415057305,0,0.000,20
2026-03-22T00:08:40.668420264+00:00,raw,11378743,421013491,0,0.000,20
2026-03-22T00:08:41.169087621+00:00,raw,11592642,428927754,0,0.000,20
2026-03-22T00:08:41.668833606+00:00,raw,11808594,436917978,0,0.000,20
2026-03-22T00:08:42.168546860+00:00,raw,12025091,444928367,0,0.000,20
2026-03-22T00:08:42.668270606+00:00,raw,12233402,452635874,0,0.000,20
2026-03-22T00:08:43.169406138+00:00,raw,12445234,460473658,0,0.000,20
2026-03-22T00:08:43.668169447+00:00,raw,12660883,468452671,0,0.000,20
2026-03-22T00:08:44.168962646+00:00,raw,12864554,475988498,0,0.000,20
2026-03-22T00:08:44.668668899+00:00,raw,13066541,483462017,0,0.000,20
2026-03-22T00:08:45.168402456+00:00,raw,13263009,490731333,0,0.000,20
2026-03-22T00:08:45.668228282+00:00,raw,13467776,498307675,0,0.000,20
