timestamp,attack_vector,packets_sent,bytes_sent,active_connections,response_latency_ms,cid_len
2026-03-22T00:11:48.183647334+00:00,both,0,0,0,0.000,20
2026-03-22T00:11:48.684281001+00:00,both,306201,11329437,0,0.000,20
2026-03-22T00:11:49.183875830+00:00,both,623878,23083486,0,0.000,20
2026-03-22T00:11:49.683495611+00:00,both,937603,34691311,0,0.000,20
2026-03-22T00:11:50.184185686+00:00,both,1284864,47539968,0,0.000,20
2026-03-22T00:11:50.683827245+00:00,both,1668781,61744897,0,0.000,20
2026-03-22T00:11:51.183495646+00:00,both,2056481,76089797,0,0.000,20
2026-03-22T00:11:51.684101397+00:00,both,2417751,89456787,0,0.000,20
2026-03-22T00:11:52.183716930+00:00,both,2785565,103065905,0,0.000,20
2026-03-22T00:11:52.684404489+00:00,both,3149138,116518106,0,0.000,20
2026-03-22T00:11:53.184050293+00:00,both,3506438,129738206,0,0.000,20
2026-03-22T00:11:53.683723960+00:00,both,3864988,143004556,0,0.000,20
2026-03-22T00:11:54.184342298+00:00,both,4228621,156458977,0,0.000,20
2026-03-22T00:11:54.683964992+00:00,both,4596463,170069131,0,0.000,20
2026-03-22T00:11:55.183590568+00:00,both,4970102,183893774,0,0.000,20
2026-03-22T00:11:55.684239860+00:00,both,5331586,197268682,0,0.000,20
2026-03-22T00:11:56.183894890+00:00,both,5707412,211174244,0,0.000,20
2026-03-22T00:11:56.683621620+00:00,both,6085048,225146776,0,0.000,20
2026-03-22T00:11:57.184246388+00:00,both,6458194,238953178,0,0.000,20
2026-03-22T00:11:57.684020407+00:00,both,6827372,252612764,0,0.000,20
2026-03-22T00:11:58.183937479+00:00,both,7180961,265695557,0,0.000,20
2026-03-22T00:11:58.683694799+00:00,both,7562946,279829002,0,0.000,20
2026-03-22T00:11:59.183739489+00:00,both,7948791,294105267,0,0.000,20
2026-03-22T00:11:59.684065285+00:00,both,8344569,308749053,0,0.000,20
2026-03-22T00:12:00.184058747+00:00,both,8730293,323020841,0,0.000,20
2026-03-22T00:12:00.684182074+00:00,both,9112979,337180223,0,0.000,20
2026-03-22T00:12:01.183844242+00:00,both,9510802,351899674,0,0.000,20
2026-03-22T00:12:01.684443543+00:00,both,9914196,366825252,0,0.000,20
2026-03-22T00:12:02.184035312+00:00,both,10314088,381621256,0,0.000,20
2026-03-22T00:12:02.683602690+00:00,both,10714357,396431209,0,0.000,20
2026-03-22T00:12:03.184170059+00:00,both,11114657,411242309,0,0.000,20
2026-03-22T00:12:03.683774981+00:00,both,11506195,425729215,0,0.000,20
2026-03-22T00:12:04.184382195+00:00,both,11910146,440675402,0,0.000,20
2026-03-22T00:12:04.684027976+00:00,both,12315810,455684970,0,0.000,20
2026-03-22T00:12:05.183726303+00:00,both,12703678,470036086,0,0.000,20
