timestamp,attack_vector,packets_sent,bytes_sent,active_connections,response_latency_ms,cid_len
2026-03-21T23:30:34.493603404+00:00,raw,0,0,0,0.000,20
2026-03-21T23:30:34.993832363+00:00,raw,51931,1921447,0,0.000,20
2026-03-21T23:30:35.493631569+00:00,raw,103436,3827132,0,0.000,20
2026-03-21T23:30:35.994307010+00:00,raw,154903,5731411,0,0.000,20
2026-03-21T23:30:36.494445475+00:00,raw,207030,7660110,0,0.000,20
2026-03-21T23:30:36.994017431+00:00,raw,258313,9557581,0,0.000,20
2026-03-21T23:30:37.493633215+00:00,raw,309317,11444729,0,0.000,20
2026-03-21T23:30:37.994178871+00:00,raw,360399,13334763,0,0.000,20
2026-03-21T23:30:38.493733813+00:00,raw,410819,15200303,0,0.000,20
2026-03-21T23:30:38.994352364+00:00,raw,461746,17084602,0,0.000,20
2026-03-21T23:30:39.493947664+00:00,raw,513587,19002719,0,0.000,20
2026-03-21T23:30:39.993526148+00:00,raw,565567,20925979,0,0.000,20
2026-03-21T23:30:40.494078011+00:00,raw,617434,22845058,0,0.000,20
2026-03-21T23:30:40.993626429+00:00,raw,669175,24759475,0,0.000,20
2026-03-21T23:30:41.494144807+00:00,raw,721392,26691504,0,0.000,20
2026-03-21T23:30:41.993672813+00:00,raw,773213,28608881,0,0.000,20
2026-03-21T23:30:42.494262939+00:00,raw,825116,30529292,0,0.000,20
2026-03-21T23:30:42.993936614+00:00,raw,876937,32446669,0,0.000,20
2026-03-21T23:30:43.493492779+00:00,raw,928876,34368412,0,0.000,20
2026-03-21T23:30:43.994004516+00:00,raw,980744,36287528,0,0.000,20
2026-03-21T23:30:44.494287539+00:00,raw,1033016,38221592,0,0.000,20
2026-03-21T23:30:44.993937494+00:00,raw,1084177,40114549,0,0.000,20
2026-03-21T23:30:45.493542392+00:00,raw,1137031,42070147,0,0.000,20
2026-03-21T23:30:45.994459070+00:00,raw,1189574,44014238,0,0.000,20
2026-03-21T23:30:46.494433709+00:00,raw,1242990,45990630,0,0.000,20
2026-03-21T23:30:46.994417800+00:00,raw,1295944,47949928,0,0.000,20
2026-03-21T23:30:47.494446387+00:00,raw,1347278,49849286,0,0.000,20
2026-03-21T23:30:47.993476231+00:00,raw,1399570,51784090,0,0.000,20
2026-03-21T23:30:48.494502468+00:00,raw,1452719,53750603,0,0.000,20
2026-03-21T23:30:48.993572255+00:00,raw,1505143,55690291,0,0.000,20
2026-03-21T23:30:49.494369802+00:00,raw,1558418,57661466,0,0.000,20
2026-03-21T23:30:49.993502543+00:00,raw,1611223,59615251,0,0.000,20
2026-03-21T23:30:50.493835269+00:00,raw,1664857,61599709,0,0.000,20
2026-03-21T23:30:50.994284928+00:00,raw,1717901,63562337,0,0.000,20
2026-03-21T23:30:51.493796935+00:00,raw,1771064,65529368,0,0.000,20
2026-03-21T23:30:51.993853661+00:00,raw,1823937,67485669,0,0.000,20
2026-03-21T23:30:52.493968755+00:00,raw,1876684,69437308,0,0.000,20
2026-03-21T23:30:52.994101388+00:00,raw,1929444,71389428,0,0.000,20
2026-03-21T23:30:53.494297077+00:00,raw,1981835,73327895,0,0.000,20
2026-03-21T23:30:53.994420464+00:00,raw,2034070,75260590,0,0.000,20
2026-03-21T23:30:54.493627700+00:00,raw,2086734,77209158,0,0.000,20
2026-03-21T23:30:54.993832450+00:00,raw,2139369,79156653,0,0.000,20
2026-03-21T23:30:55.494068408+00:00,raw,2192152,81109624,0,0.000,20
2026-03-21T23:30:55.994316346+00:00,raw,2244706,83054122,0,0.000,20
2026-03-21T23:30:56.493538521+00:00,raw,2297594,85010978,0,0.000,20
2026-03-21T23:30:56.993785988+00:00,raw,2350304,86961248,0,0.000,20
2026-03-21T23:30:57.494061590+00:00,raw,2403462,88928094,0,0.000,20
2026-03-21T23:30:57.994350450+00:00,raw,2456157,90877809,0,0.000,20
2026-03-21T23:30:58.494297609+00:00,raw,2509078,92835886,0,0.000,20
2026-03-21T23:30:58.993977983+00:00,raw,2561667,94781679,0,0.000,20
2026-03-21T23:30:59.494332030+00:00,raw,2614630,96741310,0,0.000,20
2026-03-21T23:30:59.993652979+00:00,raw,2667939,98713743,0,0.000,20
2026-03-21T23:31:00.494007336+00:00,raw,2718361,100579357,0,0.000,20
2026-03-21T23:31:00.994383927+00:00,raw,2769797,102482489,0,0.000,20
2026-03-21T23:31:01.493802970+00:00,raw,2822040,104415480,0,0.000,20
2026-03-21T23:31:01.994200380+00:00,raw,2873198,106308326,0,0.000,20
2026-03-21T23:31:02.493649310+00:00,raw,2924329,108200173,0,0.000,20
2026-03-21T23:31:02.994111589+00:00,raw,2974964,110073668,0,0.000,20
2026-03-21T23:31:03.493629226+00:00,raw,3026537,111981869,0,0.000,20
2026-03-21T23:31:03.994127234+00:00,raw,3078733,113913121,0,0.000,20
2026-03-21T23:31:04.493591963+00:00,raw,3129752,115800824,0,0.000,20
2026-03-21T23:31:04.994211925+00:00,raw,3129752,115800824,0,0.000,20
2026-03-21T23:31:05.493908911+00:00,raw,3129752,115800824,0,0.000,20
