timestamp,attack_vector,packets_sent,bytes_sent,active_connections,response_latency_ms,cid_len
2026-03-21T23:21:04.218761923+00:00,raw,0,0,0,0.000,20
2026-03-21T23:21:04.718885689+00:00,raw,52262,1933694,0,0.000,20
2026-03-21T23:21:05.219226073+00:00,raw,104228,3856436,0,0.000,20
2026-03-21T23:21:05.719569595+00:00,raw,155961,5770557,0,0.000,20
2026-03-21T23:21:06.218861143+00:00,raw,207016,7659592,0,0.000,20
2026-03-21T23:21:06.719127042+00:00,raw,258858,9577746,0,0.000,20
2026-03-21T23:21:07.219436224+00:00,raw,309822,11463414,0,0.000,20
2026-03-21T23:21:07.718750741+00:00,raw,360999,13356963,0,0.000,20
2026-03-21T23:21:08.219041313+00:00,raw,412430,15259910,0,0.000,20
2026-03-21T23:21:08.719543182+00:00,raw,464029,17169073,0,0.000,20
2026-03-21T23:21:09.219344078+00:00,raw,515708,19081196,0,0.000,20
2026-03-21T23:21:09.719227375+00:00,raw,567468,20996316,0,0.000,20
2026-03-21T23:21:10.219984982+00:00,raw,616736,22819232,0,0.000,20
2026-03-21T23:21:10.718966988+00:00,raw,665851,24636487,0,0.000,20
2026-03-21T23:21:11.218922288+00:00,raw,715812,26485044,0,0.000,20
2026-03-21T23:21:11.718799254+00:00,raw,765877,28337449,0,0.000,20
2026-03-21T23:21:12.219448088+00:00,raw,816207,30199659,0,0.000,20
2026-03-21T23:21:12.719283217+00:00,raw,867106,32082922,0,0.000,20
2026-03-21T23:21:13.218685803+00:00,raw,918798,33995526,0,0.000,20
2026-03-21T23:21:13.719233666+00:00,raw,970760,35918120,0,0.000,20
2026-03-21T23:21:14.218780923+00:00,raw,1021700,37802900,0,0.000,20
2026-03-21T23:21:14.719338665+00:00,raw,1073141,39706217,0,0.000,20
2026-03-21T23:21:15.218974992+00:00,raw,1124621,41610977,0,0.000,20
2026-03-21T23:21:15.719483707+00:00,raw,1177266,43558842,0,0.000,20
2026-03-21T23:21:16.219016100+00:00,raw,1229996,45509852,0,0.000,20
2026-03-21T23:21:16.719405582+00:00,raw,1283079,47473923,0,0.000,20
2026-03-21T23:21:17.218857056+00:00,raw,1335510,49413870,0,0.000,20
2026-03-21T23:21:17.719346919+00:00,raw,1388015,51356555,0,0.000,20
2026-03-21T23:21:18.219923456+00:00,raw,1440732,53307084,0,0.000,20
2026-03-21T23:21:18.719507471+00:00,raw,1492805,55233785,0,0.000,20
2026-03-21T23:21:19.219145995+00:00,raw,1545332,57177284,0,0.000,20
2026-03-21T23:21:19.718642674+00:00,raw,1597775,59117675,0,0.000,20
2026-03-21T23:21:20.219215862+00:00,raw,1650486,61067982,0,0.000,20
2026-03-21T23:21:20.718741228+00:00,raw,1702541,62994017,0,0.000,20
2026-03-21T23:21:21.219271678+00:00,raw,1753906,64894522,0,0.000,20
2026-03-21T23:21:21.718813885+00:00,raw,1806003,66822111,0,0.000,20
2026-03-21T23:21:22.219331018+00:00,raw,1858811,68776007,0,0.000,20
2026-03-21T23:21:22.718882005+00:00,raw,1911095,70710515,0,0.000,20
2026-03-21T23:21:23.219426225+00:00,raw,1963900,72664300,0,0.000,20
2026-03-21T23:21:23.718961029+00:00,raw,2016524,74611388,0,0.000,20
