timestamp,attack_vector,packets_sent,bytes_sent,active_connections,response_latency_ms,cid_len
2026-03-21T23:55:31.594166779+00:00,frames,0,0,0,0.000,20
2026-03-21T23:55:32.094113999+00:00,frames,11666,431642,1,0.000,20
2026-03-21T23:55:32.594469568+00:00,frames,26074,964738,1,0.000,20
2026-03-21T23:55:33.093853613+00:00,frames,34257,1267509,1,0.000,20
2026-03-21T23:55:33.593845609+00:00,frames,52118,1928366,0,0.000,20
2026-03-21T23:55:34.094319961+00:00,frames,54031,1999147,1,0.000,20
2026-03-21T23:55:34.594326805+00:00,frames,54031,1999147,1,0.000,20
